hurufKecil_fullText,cleaning_stemmed,sentiment
saya dengan penuh kebanggaan menyematkan tanda kehormatan bintang bhayangkara utama kepada panglima tni kasad kasal dan kasau di rupattama gedung utama mabes polri. tanda kehormatan tersebut diberikan oleh pemerintah republik indonesia untuk menghormati jasa panglima tni https://t.co/zsunc3kbaq,penuh bangga semat tanda hormat bintang bhayangkara utama panglima tni kasad kasal kasau rupattama gedung utama mabes polri tanda hormat sebut beri perintah republik indonesia hormat jasa panglima tni,positive
bu @khofifahip kenapa masa jabatanya jadi mundur ?? harusnya selesai tanggal 31 desember 2023 jadi 13 februari 2024 . sebegininya ya demi kepentingan prabowo-gibran .??? masyarakat mungkin pada tidak menggagas issu ini kan ?? padahal penundaan masa jabatan melalui mk dan di https://t.co/zsnnfjgx1n,bu masa jabatanya jadi mundur harus selesai tanggal desember jadi februari begini penting prabowogibran masyarakat mungkin gagas issu kan padahal tunda masa jabat lalu mk,neutral
jika susuna kabinet ini valid maka usaha sarimin bersama pkb gagal maning utk mendapatkan perhatian dari prabowo udah capek2 bikin pansus haji demi kursi menteri agama tapi dilepeh juga? https://t.co/xknvdyxbx5,susuna kabinet valid usaha sarimin sama pkb gagal maning utk dapat perhati prabowo udah capek bikin pansus haji kursi menteri agama dilepeh,positive
#tempothread setelah dua kali gagal memindahkan ibu kota ke ikn presiden jokowi seolah bilang 'udah biar prabowo aja yang teken keppres pindah ibu kotanya!' jokowi seakan merasa tanggung jawab besar ini bukan lagi miliknya.. a thread https://t.co/uduxawmfkc,kali gagal pindah ibu kota ikn presiden jokowi bilang udah biar prabowo aja teken keppres pindah ibu kota jokowi akan rasa tanggung jawab besar bukan milik a thread,negative
astaghfirullahaladziiim ketika pak @prabowo membagikan foto indah nostalgia keluarga dan bu titiek merespons dengan manis: momen terbaik mas tiba-tiba ada makhluk tolol goblok idiot komen sadis begini: cerai anak homo betul-betul kurang ajar nggak tahu adab ngga punya https://t.co/4ylsy88sig,astaghfirullahaladziiim pak bagi foto indah nostalgia keluarga bu titiek respons manis momen baik mas tibatiba makhluk tolol goblok idiot komen sadis begini cerai anak homo betulbetul kurang ajar tahu adab ngga punya,negative
pemerintah amerika serikat tolak ucapkan selamat ke prabowo. karena curang? https://t.co/ctg0mqu35i,perintah amerika serikat tolak ucap selamat prabowo curang,negative
semangat pemuda-pemudi indonesia!!! harumkan nama bangsa! https://t.co/nlnibnieef,semangat pemudapemudi indonesia harum nama bangsa,positive
fun fact hari ini : ️ moeldoko tidak menghadiri pelantikan ahy di istana ️ ahy akan satu meja dengan moeldoko saat rapat kabinet ️ kewenangan ahy (pensiunan mayor) lebih besar dari kewenangan moeldoko (mantan panglima) ️ moeldoko dan ahy sama2 pendukung prabowo jika https://t.co/b0ff2xnxq5,fun fact hari moeldoko hadir lantik ahy istana ahy satu meja moeldoko rapat kabinet wenang ahy pensiun mayor lebih besar wenang moeldoko mantan panglima moeldoko ahy sama dukung prabowo,neutral
momen pelantikan 445 pppk pamekasan joget pakai lagu kampanye prabowo https://t.co/5uyjslu56k,momen lantik pppk pamekasan joget pakai lagu kampanye prabowo,neutral
meresmikan istana negara di ikn tapi tidak berani menandatangani perpres ibukota negara ini sih jebakan untuk prabowo namanya yang bertandatangan di prasasti nama jokowi tapi yang menanggung resikonya prabowo seumur hidup https://t.co/3knmw2a6g2,resmi istana negara ikn berani menandatangani pres ibukota negara sih jebak prabowo nama bertandatangan prasasti nama jokowi tanggung resiko prabowo umur hidup,negative
makan malam dengan prabowo jokowi: tidak terasa dua jam lebih https://t.co/ji8abfmytn https://t.co/kcci3gjbgt,makan malam prabowo jokowi asa jam lebih,negative
alhamdulillah berawal dari viralnya adik lastri menangis dibully karena jadi pemulung..akhirnya dapat bantuan dari pak prabowo rumah layak huni lahan dan ternak. sehat selalu adik dan juga pak prabowo.. https://t.co/ktozos2fxc,alhamdulillah awal viralnya adik lastri menang dibully jadi pemulungakhirnya bantu pak prabowo rumah layak huni lahan ternak sehat selalu adik pak prabowo,positive
keluarga rothschild (keluarga yg menciptakan negara israel) membangun pabrik di batam dan langsung disambut hangat oleh prabowo prabowo mengatakan dirinya merupakan sahabat dekat keluarga rothschild https://t.co/ohuihkmqtv,keluarga rothschild keluarga yg cipta negara israel bangun pabrik batam langsung sambut hangat prabowo prabowo kata diri rupa sahabat dekat keluarga rothschild,negative
mencari aktivis yang hilang diculik prabowo https://t.co/r7fqlclrhd,cari aktivis hilang culik prabowo,negative
menghadiri dan mendengarkan arahan presiden ri @jokowi dalam sidang kabinet paripurna terakhir. istana garuda ibu kota nusantara. https://t.co/lnedjlhxtb,hadir dengar arah presiden ri sidang kabinet paripurna akhir istana garuda ibu kota nusantara,neutral
sikap diam prabowo saat ini dng isue ikn fufufafa dan hal lain yg berkaitan dengan tumpukan dosa-dosa jokowi sepanjang 2 periode pemerintahannya diyakini sebagai sikap yg tidak ingin memantik hal-hal diluar nalar dari besarnya bahaya sikap tak terduga dari presiden berkuasa saat https://t.co/af9klxrm5g,sikap diam prabowo dng isue ikn fufufafa yg kait tumpu dosadosa jokowi panjang periode perintah yakin sikap yg mantik halhal luar nalar besar bahaya sikap tak duga presiden kuasa,negative
kata gus miftah program food estate pak prabowo mencontoh nabi yusuf makan siang gratis mencontoh nabi ibrahim dan hilirisasi mencontoh nabi muhammad. mudah-mudahan programnya berhasil semua biar para nabi gak disalahin. amin. https://t.co/bka1dt3yab,kata gus miftah program food estate pak prabowo contoh nabi yusuf makan siang gratis contoh nabi ibrahim hilir contoh nabi muhammad mudahmudahan program hasil semua biar nabi gak disalahin amin,positive
mulyono gini amat cawe-cawenya.. kenapa prabowo sebagai presiden terpilih diperlakukan seperti itu?! https://t.co/guaxlcpqck,mulyono gin cawecawenya prabowo presiden pilih laku,negative
wakil presiden (wapres) terpilih gibran rakabuming raka menyampaikan bahwa susunan kabinet pemerintahannya hampir rampung. ia pun mengakui keterlibatan presiden joko widodo atau jokowi dalam penyusunan kabinet presiden ri terpilih prabowo subianto periode 2024-2029. simak https://t.co/hdcwthhtma,wakil presiden wapres pilih gibran rakabuming raka sampai susun kabinet perintah hampir rampung aku libat presiden joko widodo jokowi susun kabinet presiden ri pilih prabowo subianto periode simak,negative
gila banget ya. ini sih bangsatnya bangsat. saya usul jika pak prabowo sudah dilantik mohon serahkan akun fufufafa ini kepada tim forensik digital. bahaya sekali provokasinya.. https://t.co/lwqqnvhvre,gila banget sih bangsat bangsat usul pak prabowo lantik mohon serah akun fufufafa tim forensik digital bahaya sekali provokasi,negative
setiap prabowo bilang makan gratis satu helai rambut ganjar menghitam,prabowo bilang makan gratis satu helai rambut ganjar hitam,neutral
terima kasih kepada presiden ri @jokowi atas anugerah dan kehormatan ini terima kasih kepada tentara nasional indonesia dan kepolisian republik indonesia serta seluruh prajurit tni dan polri di seluruh indonesia. sejak umur 18 tahun saya mengucap sumpah untuk selalu setia https://t.co/hz0akwlak2,terima kasih presiden ri atas anugerah hormat terima kasih tentara nasional indonesia polisi republik indonesia seluruh prajurit tni polri seluruh indonesia sejak umur tahun ucap sumpah selalu setia,positive
gwa kan hari ini ke jkt naek whoosh bawa mobil dari rumah parkir di st padalarang. ternyata sini banyak mobil mevvah parkir juga kayaknya mereka daytrip bdg jkt pp (or nginep) dateng - parkir - 30 menit sampe jkt - kerja/urusan - balik 30 menit - nyetir ke rumah. enak juga sih https://t.co/ofs0mjyf4n,gwa kan hari jkt naek whoosh bawa mobil rumah parkir st padalarang nyata sini banyak mobil mevvah parkir kayak daytrip bdg jkt pp or nginep dateng parkir menit sampe jkt kerjaurusan balik menit nyetir rumah enak sih,neutral
pernyataan jkw tidak ikut cawe2 dalam penyusunan kabinet prabowo dibantah fufufafa https://t.co/vxx3suludi,nyata jkw ikut cawe susun kabinet prabowo ban fufufafa,neutral
di 2014 luhut tegas mengatakan: tni yg dipecat masak mau jadi presiden . hari ini luhut mendukung tni yg dipecat itu untuk menjadi presiden. ketika disebut mantan jenderal yg mencla mencle luhut marah. luhut nampaknya ketularan prabowo. bukan lagi pemberani tapi pemarah. https://t.co/bgehazpock,luhut tegas kata tni yg pecat masak mau jadi presiden hari luhut dukung tni yg pecat jadi presiden sebut mantan jenderal yg mencla mencle luhut marah luhut nampaknya tular prabowo bukan berani marah,negative
hari ini saya meresmikan istana negara di ikn. bangunan ini memiliki kualitas tinggi dan dirancang untuk mendukung pelaksanaan tugas-tugas pemerintahan di ikn secara optimal. selanjutnya istana garuda yang sudah dalam tahap penyelesaian akan diresmikan oleh presiden prabowo https://t.co/daewv8v2py,hari resmi istana negara ikn bangun milik kualitas tinggi rancang dukung laksana tugastugas perintah ikn optimal lanjut istana garuda tahap selesai resmi presiden prabowo,positive
modal legitimasi awal pak prabowo dan mas gibran sangat tinggi. optimis di tangan pak prabowo dan mas gibran indonesia bisa melompat lebih tinggi; berlari lebih kencang. dari indonesia maju menjadi indonesia lebih laju. bismillah! https://t.co/virlbv5vua,modal legitimasi awal pak prabowo mas gibran sangat tinggi optimis tangan pak prabowo mas gibran indonesia lompat lebih tinggi lari lebih kencang indonesia maju jadi indonesia lebih laju bismillah,positive
kepala prabowo mulai berasap.... #fufufafaadalahgibran https://t.co/cumfsxpbbq,kepala prabowo mulai asap,negative
lumayan dapat kain lap terus dapat duit. seperti kata prabowo ambil duitnya jangan pilih orangnya. kain lapnya jgn lupa tetap dipakai. bgmn betul tidak sappo? #asalbukanprabowo https://t.co/6n2ukm0ir8,lumayan kain lap terus duit kata prabowo ambil duit jangan pilih orang kain lap jgn lupa tetap pakai bgmn betul sappo,positive
ingin disebut pahlawan yang akan bela prabowo kaesang malah disuruh netizen lawan dulu fufufafa yang sudah berani merendahkan harkat dan martabat keluarga prabowo. https://t.co/cmups4wjbk,sebut pahlawan bela prabowo kaesang malah suruh netizen lawan dulu fufufafa berani rendah harkat martabat keluarga prabowo,negative
gibran sebut jokowi beri masukan ke prabowo soal susunan kabinet https://t.co/momwktdwfa https://t.co/d2gnbbx4mv,gibran sebut jokowi beri masuk prabowo soal susun kabinet,negative
seluruh rakyat indonesia 278 juta orang harus jaga keselamatan pak prabowo subianto baik-baik. kalau sampai beliau kenapa-kenapa dalam 5 tahun ini maka makhluk ini yang akan jadi presiden kalian! paham 58% rakyat goblok? https://t.co/mz7u3ipmo1,seluruh rakyat indonesia juta orang jaga selamat pak prabowo subianto baikbaik kalau beliau kenapakenapa tahun makhluk jadi presiden kalian paham rakyat goblok,negative
kalau emang ngarep jadi wakilnya prabowo napa ga dari dulu prabowo gibran udah mo dilantik baru pada ribut https://t.co/plhq2eb2rk,kalau emang ngarep jadi wakil prabowo napa ga dulu prabowo gibran udah mo lantik baru ribut,negative
 kalau presiden jokowi diktator anda tidak akan jadi gubernur dki jakarta dan sekarang kejadian beneran kan pak @prabowo masih mau bilang @jokowi bukan diktator? peringatan darurat #kawalputusanmk https://t.co/9r6piu0yp9,kalau presiden jokowi diktator jadi gubernur dki jakarta sekarang jadi beneran kan pak mau bilang bukan diktator ingat darurat,negative
tumben gak ada yang ngaamook tapi yaa kan nganu itu anuannya ya kan https://t.co/mbfvmxruku,tumben gak ngaamook yaa kan nganu anu kan,negative
dirgahayu tentara nasional indonesia ke-79 tahun. selalu membela rakyat dan mempertahankan negara republik indonesia. https://t.co/wcn2gynzah,dirgahayu tentara nasional indonesia tahun selalu bela rakyat tahan negara republik indonesia,neutral
presiden joko widodo mengatakan kemungkinan tidak hadir di gedung dpr senayan saat pelantikan presiden terpilih prabowo subianto pada 20 oktober 2024. #tempoheadliner https://t.co/z6ttgzbvhi,presiden joko widodo kata mungkin hadir gedung dpr senayan lantik presiden pilih prabowo subianto oktober,negative
jokowi sebut keppres ikn diteken prabowo dan gerindra menjawab. pertanda ketidak kompakan itu semakin nyata https://t.co/7e5jhi6bv5,jokowi sebut keppres ikn teken prabowo gerindra jawab tanda tidak kompak makin nyata,negative
menghadiri kampanye akbar pagelaran anak negeri di gelora bandung lautan api. walau hujan deras namun semangat dan antusiasme masyarakat jawa barat yang hadir tetap luar biasa. hatur nuhun jawa barat. #bersamaindonesiamaju https://t.co/smvpr5orwb,hadir kampanye akbar pagelaran anak negeri gelora bandung laut api hujan deras semangat antusiasme masyarakat jawa barat hadir tetap luar biasa hatur nuhun jawa barat,neutral
